lad,SHEF_B_CODE,reports,unique_users,average_per_user
E06000038,B1,1,1,1.0
E07000177,B1,1,1,1.0
E07000178,B1,1,1,1.0
E07000180,B1,3,3,1.0
E07000194,B1,18,15,1.2
E07000243,B1,265,96,2.7604166666666665
E09000006,B1,517,479,1.0793319415448852
E09000006,B10,12,12,1.0
E07000180,B11,1,1,1.0
E07000181,B11,2,2,1.0
E09000003,B11,77,71,1.0845070422535212
E09000003,B12,86,79,1.0886075949367089
E06000038,B13,1,1,1.0
E06000045,B13,281,214,1.3130841121495327
E07000177,B13,43,41,1.048780487804878
E07000178,B13,27,24,1.125
E07000179,B13,94,77,1.2207792207792207
E07000180,B13,72,55,1.309090909090909
E07000181,B13,53,47,1.127659574468085
E07000194,B13,30,30,1.0
E07000243,B13,6,6,1.0
E09000003,B13,921,747,1.2329317269076305
E06000038,B14,1,1,1.0
E06000045,B14,64,47,1.3617021276595744
E07000177,B14,3,3,1.0
E07000179,B14,1,1,1.0
E07000180,B14,3,3,1.0
E07000181,B14,3,3,1.0
E07000194,B14,4,4,1.0
E07000243,B14,57,17,3.3529411764705883
E09000003,B14,69,44,1.5681818181818181
E09000006,B14,288,126,2.2857142857142856
E07000179,B15,3,3,1.0
E07000180,B15,1,1,1.0
E07000194,B15,7,7,1.0
E09000006,B15,146,118,1.2372881355932204
E06000038,B16,1,1,1.0
E06000045,B16,159,130,1.2230769230769232
E07000177,B16,19,17,1.1176470588235294
E07000178,B16,15,13,1.1538461538461537
E07000179,B16,20,18,1.1111111111111112
E07000180,B16,13,13,1.0
E07000181,B16,13,13,1.0
E07000194,B16,25,24,1.0416666666666667
E07000243,B16,127,54,2.3518518518518516
E06000038,B17,2,1,2.0
E06000045,B17,152,118,1.2881355932203389
E07000177,B17,65,47,1.3829787234042554
E07000178,B17,38,29,1.3103448275862069
E07000179,B17,112,89,1.2584269662921348
E07000180,B17,72,50,1.44
E07000181,B17,53,48,1.1041666666666667
E07000194,B17,6,6,1.0
E07000243,B17,25,21,1.1904761904761905
E09000003,B17,368,302,1.218543046357616
E09000006,B17,1127,945,1.1925925925925926
E06000038,B18,3,3,1.0
E06000045,B18,49,44,1.1136363636363635
E07000177,B18,8,8,1.0
E07000178,B18,10,8,1.25
E07000179,B18,12,12,1.0
E07000180,B18,9,7,1.2857142857142858
E07000181,B18,14,14,1.0
E07000194,B18,6,5,1.2
E06000038,B19,3,3,1.0
E06000045,B19,196,160,1.225
E07000177,B19,59,39,1.5128205128205128
E07000178,B19,56,45,1.2444444444444445
E07000179,B19,103,82,1.2560975609756098
E07000180,B19,56,46,1.2173913043478262
E07000181,B19,29,25,1.16
E07000194,B19,11,11,1.0
E07000243,B19,19,9,2.111111111111111
E09000003,B19,777,664,1.1701807228915662
E09000006,B19,636,495,1.284848484848485
E07000177,B20,3,3,1.0
E07000178,B20,1,1,1.0
E07000179,B20,5,5,1.0
E07000180,B20,5,5,1.0
E07000181,B20,2,2,1.0
E07000181,B21,1,1,1.0
E09000006,B21,27,25,1.08
E06000045,B23,15,8,1.875
E07000177,B23,13,11,1.1818181818181819
E07000178,B23,8,8,1.0
E07000179,B23,16,16,1.0
E07000180,B23,19,19,1.0
E07000181,B23,17,15,1.1333333333333333
E09000006,B23,297,248,1.1975806451612903
E06000038,B24,3,3,1.0
E06000045,B24,55,52,1.0576923076923077
E07000177,B24,58,39,1.4871794871794872
E07000178,B24,31,24,1.2916666666666667
E07000179,B24,62,53,1.169811320754717
E07000180,B24,45,37,1.2162162162162162
E07000181,B24,35,32,1.09375
E07000194,B24,2,2,1.0
E07000243,B24,2,2,1.0
E09000003,B24,172,159,1.0817610062893082
E09000006,B24,246,134,1.835820895522388
E06000038,B25,2,2,1.0
E06000045,B25,575,384,1.4973958333333333
E07000177,B25,591,311,1.9003215434083602
E07000178,B25,273,206,1.325242718446602
E07000179,B25,754,490,1.5387755102040817
E07000180,B25,543,342,1.587719298245614
E07000181,B25,498,322,1.546583850931677
E07000194,B25,45,40,1.125
E07000243,B25,1,1,1.0
E09000003,B25,694,436,1.591743119266055
E09000006,B25,1059,755,1.4026490066225166
E09000008,B25,1,1,1.0
E06000038,B26,4,4,1.0
E06000045,B26,512,345,1.4840579710144928
E07000177,B26,30,21,1.4285714285714286
E07000178,B26,10,9,1.1111111111111112
E07000179,B26,38,33,1.1515151515151516
E07000180,B26,31,29,1.0689655172413792
E07000181,B26,23,20,1.15
E07000194,B26,51,45,1.1333333333333333
E07000242,B26,1,1,1.0
E07000243,B26,1057,120,8.808333333333334
E09000003,B26,1776,1034,1.7176015473887813
E09000006,B26,2560,1557,1.6441875401412973
E09000023,B26,1,1,1.0
E06000045,B27,25,17,1.4705882352941178
E07000177,B27,1,1,1.0
E07000178,B27,3,3,1.0
E07000179,B27,5,4,1.25
E07000180,B27,2,2,1.0
E07000181,B27,6,4,1.5
E07000243,B27,533,31,17.193548387096776
E06000038,B28,7,6,1.1666666666666667
E06000045,B28,1,1,1.0
E07000177,B28,31,31,1.0
E07000178,B28,17,15,1.1333333333333333
E07000179,B28,44,32,1.375
E07000180,B28,33,30,1.1
E07000181,B28,26,23,1.1304347826086956
E07000194,B28,11,8,1.375
E07000243,B28,13,11,1.1818181818181819
E09000003,B28,433,372,1.163978494623656
E09000006,B28,1147,870,1.318390804597701
E07000177,B29,5,2,2.5
E07000178,B29,2,2,1.0
E07000179,B29,5,5,1.0
E07000180,B29,3,3,1.0
E07000178,B3,1,1,1.0
E07000180,B3,3,3,1.0
E07000181,B3,1,1,1.0
E06000038,B4,1,1,1.0
E06000045,B4,21,13,1.6153846153846154
E07000178,B4,3,3,1.0
E07000194,B4,1,1,1.0
E07000243,B4,1,1,1.0
E06000038,B6,2,2,1.0
E06000045,B6,81,56,1.4464285714285714
E07000177,B6,1,1,1.0
E07000180,B6,2,2,1.0
E07000194,B6,63,32,1.96875
E07000243,B6,266,34,7.823529411764706
E09000003,B6,122,81,1.5061728395061729
E07000177,B7,62,45,1.3777777777777778
E07000178,B7,48,31,1.5483870967741935
E07000179,B7,113,81,1.3950617283950617
E07000180,B7,80,60,1.3333333333333333
E07000181,B7,43,38,1.131578947368421
E07000194,B7,9,7,1.2857142857142858
E09000003,B7,273,244,1.1188524590163935
E09000006,B7,236,202,1.1683168316831682
E06000045,B8,14,12,1.1666666666666667
E07000243,B8,43,15,2.8666666666666667
E09000006,B8,189,180,1.05
E09000023,B8,1,1,1.0
E07000177,B9,2,2,1.0
E07000178,B9,1,1,1.0
E07000180,B9,6,6,1.0
E07000181,B9,2,1,2.0
