period,LAD,SHEF_B_CODE,report_count,user_count,average
2014-6,E06000045,B13,20,19,1.0526315789473684
2014-6,E06000045,B14,9,8,1.125
2014-6,E06000045,B16,19,17,1.1176470588235294
2014-6,E06000045,B17,46,38,1.2105263157894737
2014-6,E06000045,B18,8,8,1.0
2014-6,E06000045,B19,22,20,1.1
2014-6,E06000045,B23,2,2,1.0
2014-6,E06000045,B24,8,7,1.1428571428571428
2014-6,E06000045,B25,44,30,1.4666666666666666
2014-6,E06000045,B26,63,54,1.1666666666666667
2014-6,E06000045,B27,6,6,1.0
2014-6,E06000045,B4,3,3,1.0
2014-6,E06000045,B6,10,8,1.25
2014-6,E06000045,B8,1,1,1.0
2014-6,E07000089,B1,4,4,1.0
2014-6,E07000089,B13,18,18,1.0
2014-6,E07000089,B16,21,19,1.105263157894737
2014-6,E07000089,B18,1,1,1.0
2014-6,E07000089,B19,22,19,1.1578947368421053
2014-6,E07000089,B25,18,14,1.2857142857142858
2014-6,E07000089,B26,18,18,1.0
2014-6,E07000089,B27,6,3,2.0
2014-6,E07000089,B28,2,2,1.0
2014-6,E07000177,,6,3,2.0
2014-6,E07000177,B13,5,3,1.6666666666666667
2014-6,E07000177,B16,2,2,1.0
2014-6,E07000177,B17,30,26,1.1538461538461537
2014-6,E07000177,B18,1,1,1.0
2014-6,E07000177,B19,5,5,1.0
2014-6,E07000177,B20,1,1,1.0
2014-6,E07000177,B23,4,3,1.3333333333333333
2014-6,E07000177,B24,8,7,1.1428571428571428
2014-6,E07000177,B25,36,29,1.2413793103448276
2014-6,E07000177,B27,1,1,1.0
2014-6,E07000177,B28,5,4,1.25
2014-6,E07000177,B7,5,4,1.25
2014-6,E07000178,,2,2,1.0
2014-6,E07000178,B13,3,3,1.0
2014-6,E07000178,B14,1,1,1.0
2014-6,E07000178,B16,4,3,1.3333333333333333
2014-6,E07000178,B17,10,9,1.1111111111111112
2014-6,E07000178,B18,2,2,1.0
2014-6,E07000178,B19,12,8,1.5
2014-6,E07000178,B24,6,5,1.2
2014-6,E07000178,B25,25,19,1.3157894736842106
2014-6,E07000178,B26,2,2,1.0
2014-6,E07000178,B27,1,1,1.0
2014-6,E07000178,B29,2,2,1.0
2014-6,E07000178,B7,10,6,1.6666666666666667
2014-6,E07000178,B9,1,1,1.0
2014-6,E07000179,,8,7,1.1428571428571428
2014-6,E07000179,B13,9,9,1.0
2014-6,E07000179,B16,4,4,1.0
2014-6,E07000179,B17,23,21,1.0952380952380953
2014-6,E07000179,B18,1,1,1.0
2014-6,E07000179,B19,8,8,1.0
2014-6,E07000179,B21,1,1,1.0
2014-6,E07000179,B23,3,3,1.0
2014-6,E07000179,B24,3,3,1.0
2014-6,E07000179,B25,67,58,1.1551724137931034
2014-6,E07000179,B26,3,3,1.0
2014-6,E07000179,B28,2,2,1.0
2014-6,E07000179,B29,1,1,1.0
2014-6,E07000179,B7,7,7,1.0
2014-6,E07000180,,5,5,1.0
2014-6,E07000180,B1,1,1,1.0
2014-6,E07000180,B13,13,12,1.0833333333333333
2014-6,E07000180,B15,1,1,1.0
2014-6,E07000180,B16,1,1,1.0
2014-6,E07000180,B17,24,22,1.0909090909090908
2014-6,E07000180,B18,1,1,1.0
2014-6,E07000180,B19,12,10,1.2
2014-6,E07000180,B20,1,1,1.0
2014-6,E07000180,B24,10,7,1.4285714285714286
2014-6,E07000180,B25,56,44,1.2727272727272727
2014-6,E07000180,B26,3,3,1.0
2014-6,E07000180,B27,1,1,1.0
2014-6,E07000180,B28,3,3,1.0
2014-6,E07000180,B7,6,6,1.0
2014-6,E07000181,,2,2,1.0
2014-6,E07000181,B13,7,7,1.0
2014-6,E07000181,B15,1,1,1.0
2014-6,E07000181,B16,2,2,1.0
2014-6,E07000181,B17,9,9,1.0
2014-6,E07000181,B19,9,8,1.125
2014-6,E07000181,B20,1,1,1.0
2014-6,E07000181,B24,4,4,1.0
2014-6,E07000181,B25,45,31,1.4516129032258065
2014-6,E07000181,B26,5,3,1.6666666666666667
2014-6,E07000181,B27,1,1,1.0
2014-6,E07000181,B28,3,3,1.0
2014-6,E07000181,B6,1,1,1.0
2014-6,E07000181,B7,10,9,1.1111111111111112
2014-6,E07000243,B1,31,9,3.4444444444444446
2014-6,E07000243,B13,2,1,2.0
2014-6,E07000243,B14,4,2,2.0
2014-6,E07000243,B16,27,12,2.25
2014-6,E07000243,B17,14,14,1.0
2014-6,E07000243,B19,6,6,1.0
2014-6,E07000243,B26,166,29,5.724137931034483
2014-6,E07000243,B28,1,1,1.0
2014-6,E07000243,B6,11,5,2.2
2014-6,E07000243,B8,5,3,1.6666666666666667
2014-6,E09000003,B1,15,15,1.0
2014-6,E09000003,B12,5,5,1.0
2014-6,E09000003,B13,75,68,1.1029411764705883
2014-6,E09000003,B14,9,8,1.125
2014-6,E09000003,B17,49,49,1.0
2014-6,E09000003,B19,93,87,1.0689655172413792
2014-6,E09000003,B2,1,1,1.0
2014-6,E09000003,B24,15,15,1.0
2014-6,E09000003,B25,48,38,1.263157894736842
2014-6,E09000003,B26,174,141,1.2340425531914894
2014-6,E09000003,B28,23,21,1.0952380952380953
2014-6,E09000003,B6,6,6,1.0
2014-6,E09000003,B7,28,17,1.6470588235294117
2014-6,E09000006,B1,74,65,1.1384615384615384
2014-6,E09000006,B10,1,1,1.0
2014-6,E09000006,B14,59,18,3.2777777777777777
2014-6,E09000006,B15,38,29,1.3103448275862069
2014-6,E09000006,B17,271,238,1.138655462184874
2014-6,E09000006,B19,72,70,1.0285714285714285
2014-6,E09000006,B21,3,3,1.0
2014-6,E09000006,B23,40,35,1.1428571428571428
2014-6,E09000006,B24,16,10,1.6
2014-6,E09000006,B25,90,73,1.2328767123287672
2014-6,E09000006,B26,602,343,1.7551020408163265
2014-6,E09000006,B28,97,68,1.4264705882352942
2014-6,E09000006,B7,25,22,1.1363636363636365
2014-6,E09000006,B8,35,35,1.0
