period,LAD,report_count,user_count,average
2015-4,,1,1,1.0
2015-4,E07000061,93,67,1.3880597014925373
2015-4,E07000062,77,64,1.203125
2015-4,E07000063,170,129,1.317829457364341
2015-4,E07000064,167,133,1.255639097744361
2015-4,E07000065,294,209,1.4066985645933014
2015-4,E07000089,70,66,1.0606060606060606
2015-4,E07000165,14,13,1.0769230769230769
2015-4,E07000177,172,96,1.7916666666666667
2015-4,E07000178,74,65,1.1384615384615384
2015-4,E07000179,153,110,1.3909090909090909
2015-4,E07000180,105,79,1.3291139240506329
2015-4,E07000181,95,74,1.2837837837837838
2015-4,E07000218,27,21,1.2857142857142858
2015-4,E07000219,33,28,1.1785714285714286
2015-4,E07000220,51,37,1.3783783783783783
2015-4,E07000221,65,56,1.1607142857142858
2015-4,E07000222,55,51,1.0784313725490196
2015-4,E07000243,365,60,6.083333333333333
2015-4,E09000003,402,263,1.5285171102661597
2015-4,E09000006,1323,860,1.5383720930232558
